xe,rhoe,ue,pe,ee,Me,se
0.43,3.4765,1.1191,8.9347,6.425,0.58996,0.4455
0.432,3.4427,1.1376,8.8133,6.4,0.6009,0.4455
0.434,3.4092,1.1561,8.6933,6.3749,0.61188,0.4455
0.436,3.3759,1.1746,8.5747,6.35,0.6229,0.4455
0.438,3.3429,1.1931,8.4575,6.3251,0.63396,0.4455
0.44,3.3101,1.2117,8.3417,6.3002,0.64507,0.4455
0.442,3.2776,1.2302,8.2272,6.2754,0.65623,0.4455
0.444,3.2453,1.2487,8.1141,6.2506,0.66742,0.4455
0.446,3.2133,1.2672,8.0023,6.2259,0.67867,0.4455
0.448,3.1816,1.2857,7.8919,6.2012,0.68995,0.4455
0.45,3.1501,1.3043,7.7827,6.1766,0.70128,0.4455
0.452,3.1189,1.3228,7.6749,6.152,0.71266,0.4455
0.454,3.0879,1.3413,7.5683,6.1275,0.72408,0.4455
0.456,3.0571,1.3598,7.463,6.103,0.73555,0.4455
0.458,3.0266,1.3783,7.359,6.0786,0.74706,0.4455
0.46,2.9964,1.3968,7.2562,6.0542,0.75862,0.4455
0.462,2.9664,1.4154,7.1547,6.0298,0.77023,0.4455
0.464,2.9366,1.4339,7.0543,6.0056,0.78188,0.4455
0.466,2.907,1.4524,6.9552,5.9813,0.79358,0.4455
0.468,2.8777,1.4709,6.8573,5.9571,0.80533,0.4455
0.47,2.8487,1.4894,6.7605,5.933,0.81713,0.4455
0.472,2.8199,1.508,6.665,5.9089,0.82897,0.4455
0.474,2.7913,1.5265,6.5705,5.8849,0.84086,0.4455
0.476,2.7629,1.545,6.4773,5.8609,0.85281,0.4455
0.478,2.7348,1.5635,6.3851,5.837,0.86479,0.4455
0.48,2.7069,1.582,6.2941,5.8131,0.87683,0.4455
0.482,2.6792,1.6005,6.2043,5.7892,0.88892,0.4455
0.484,2.6518,1.6191,6.1155,5.7654,0.90106,0.4455
0.486,2.6246,1.6376,6.0278,5.7417,0.91325,0.4455
0.488,2.5976,1.6561,5.9412,5.718,0.92549,0.4455
0.49,2.5708,1.6746,5.8556,5.6944,0.93778,0.4455
0.492,2.5443,1.6931,5.7711,5.6708,0.95012,0.4455
0.494,2.5179,1.7117,5.6877,5.6472,0.96251,0.4455
0.496,2.4918,1.7302,5.6053,5.6237,0.97496,0.4455
0.498,2.4659,1.7487,5.5239,5.6003,0.98745,0.4455
